Line,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC112940,-0.9910556,-6.134752566,3.157728968,-6.559192557,-5.264247604,-3.340666923,-3.782397738,-2.103474947,0.788584932,-0.885037907,0.121649024,0.989160052,-0.64946254,-2.72033528,92.95403605,3.702681532,0.051449087,0.635239032,-27.32285417,1.860053701,304.6883716,-10.89567812,-0.020848777
GPC112950,-0.653378141,2.547852703,1.326839961,-5.748369624,-7.906305597,0.982709731,-3.163127588,-1.836112757,0.592352582,0.165250772,-0.032042616,3.806003106,-0.22895252,-1.665525742,40.99589673,1.756606733,0.149717732,0.39859524,-9.025440703,0.441062943,42.34232586,-30.2355154,-0.043807144
GPC112960,0.535244141,-5.884447559,0.484003742,-0.725923356,-2.156333456,3.804231824,4.719541197,2.927752503,0.088489363,-1.606868059,-0.11623847,6.341389291,0.057553939,-1.313235691,2.665888797,0.009417104,-0.06841536,-0.069705693,-9.624855824,-1.017849466,-190.9685301,35.16416814,-0.037800631
GPC112970,0.438551594,0.274331273,-1.582703555,-0.407698247,-2.052152923,3.724417407,5.659290155,3.342694537,-0.307339447,-4.103406768,-0.359536544,5.945612216,0.261843047,-1.19471409,-40.75065948,-1.650291695,0.242246235,-0.301026727,15.93724035,-1.688113506,-350.2442615,10.9265627,-0.05083902
GPC112980,-0.253795554,-4.726895118,0.996274473,-3.636764789,-4.886346974,0.266447509,-1.589943568,-1.142693654,0.405453979,-0.574045398,-0.034779407,0.605133841,-0.178491666,-1.869902384,22.41995006,1.150638656,0.177129777,0.316210674,3.468988663,0.146588339,74.92534259,-10.38026683,-0.006740635
GPC112990,0.065321944,1.197304859,-3.087446426,1.247127824,-3.308266047,7.428665067,7.266557651,4.709062687,-0.320426307,-4.348131039,-0.022365847,3.223812646,0.327325196,1.178150337,-44.3716985,-2.317796299,0.199258555,-0.644655057,8.678344605,-2.245010631,-329.7223953,62.57799005,-0.055797574
GPC113000,-0.534954686,6.489260976,2.990431379,-2.194913854,-3.248906524,-0.486342513,-2.513709413,-1.212515286,0.110147161,0.63437146,0.0440545,-2.006068911,-0.012951762,0.900403973,-14.80564719,-0.496232961,0.088063607,-0.219476092,12.5143945,-0.858180926,12.7300187,12.53572648,-0.03681619
GPC113010,0.217748594,2.816741674,-2.240488435,-1.780067808,-5.796861423,4.904740148,3.426159898,2.045066095,-0.65138366,-5.93359484,-0.353158016,5.700210138,0.296185203,-0.756682849,-45.71118999,-2.000766503,0.487845335,-0.490013794,20.08297815,-1.6028737,-388.9044713,6.259792268,-0.04877896
GPC113020,0.142500078,0.171614527,1.199631193,-4.011877512,-6.0473266,5.477091521,0.674952931,0.924272912,-0.164361618,3.421667015,-0.111464299,6.39204088,0.29784131,5.550160357,-26.56612429,-1.605468624,0.338086502,-0.33420176,8.656376124,-1.332423502,-126.8665163,27.11122405,-0.043874508
GPC113030,0.46304878,2.282396545,-0.503636535,-2.576125081,-4.926031789,6.665649847,1.954918784,1.89074656,-0.548209734,5.019501197,-0.160915261,4.581600291,0.387681839,8.366479864,-36.86459345,-2.297181521,0.345040832,-0.468190671,1.313044451,-1.900365772,-151.8722294,19.32921679,-0.06164238
GPC113040,-0.739446532,-8.677673792,3.222179675,-6.148487043,-5.004963216,-3.347782796,-2.220753585,-1.346688883,0.394415308,-0.450253969,0.032434963,0.009514641,-0.56991768,-1.754037701,89.88216803,3.386584927,0.118728492,0.406330131,-23.13893984,2.14857277,272.1881079,-12.2433435,-0.012913178
GPC113050,-1.100492596,-7.320978476,2.660129248,-4.929276294,-4.111139788,-3.041573605,-2.666637993,-1.765657283,0.36746695,1.127314943,-0.003572405,-1.165217459,-0.485149662,-1.935525367,90.1760953,3.238131123,0.034332316,0.366655864,-15.50189844,2.034924805,323.0886707,-9.060550131,-0.024501775
GPC113060,-0.16200594,5.509974122,-2.52380274,2.756094322,-0.43422306,7.143542408,3.59354507,2.862221817,-0.127016689,-3.160865062,0.059488694,2.023792828,0.385997751,1.931686972,-50.08929794,-2.496014082,0.021875129,-0.476489679,9.997290256,-2.580623207,-327.5688871,74.42545913,-0.05971727
GPC113070,0.818936549,12.92759798,1.347058635,-4.139579787,-3.777384762,7.468954416,7.552768192,4.995059317,-0.497515449,0.801782427,-0.16002962,5.968076017,0.373879649,3.101707564,-37.74550889,-2.209007434,0.030613465,-0.437797246,25.32669836,-2.268814831,-269.5263066,8.016413843,-0.06995439
