Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC015450,Core,0.067718146,-2.0402261,0.827031146,1.22971842,0.23085681,-0.875897967,-0.022901073,0.956003355,-0.308461345,-5.691938175,-0.075875009,1.304510278,0.001573553,-2.087259665,2.827844934,-0.036541564,-0.001764869,-0.007878861,-7.528587742,0.188922144,-156.701512,36.10157165,0.026814438
GPC015510,Core,-0.500300225,0.608389138,1.605173446,-1.392396292,-1.05226994,-2.948054188,-0.218507291,0.242292806,-0.025816859,-0.931448986,-0.060311477,3.268703625,-0.226673968,-0.728602332,22.73198215,0.740225468,-0.005454303,0.047591485,2.539660521,0.65995402,10.34748079,11.67210767,0.01897697
GPC015800,Core,-1.521456588,-4.475314797,0.701823111,4.024391412,1.812776989,-6.610747675,-1.16715399,-2.705224109,0.850522586,-0.068346146,-0.040822719,2.93500496,-0.778685289,-2.97592735,68.74303926,3.569586466,-0.662767972,0.746735188,-15.401536,2.303799719,227.4737039,-28.25920951,0.052986662
GPC015830,Core,-2.61210021,-3.204309726,6.045009653,-12.51636961,-11.06706603,-10.81376758,-1.611378437,-3.979436265,1.404195807,-3.20313771,-0.335980637,13.05946963,-0.914731296,-4.019661011,89.14838148,5.062857289,0.484533104,0.615570973,-9.972802722,4.371182804,338.8186107,-32.41107273,0.207196228
GPC015880,Core,-0.611131907,2.761144476,1.580545804,-2.646039203,-2.827722686,-3.208168738,-0.299076252,0.283549324,-0.042491164,-0.968607391,-0.12410678,4.807704184,-0.224196718,-0.856483232,23.26914417,0.796221293,0.181779647,-0.079253427,9.117565464,0.712465407,4.353445375,9.037531876,0.024480285
GPC015960,Core,-0.304221804,-1.752576144,1.732422047,-1.677147729,-2.243953619,-2.59262981,-0.448459775,-1.564155629,-0.052314318,-0.652049796,-0.08495913,0.751076834,-0.267908158,-0.606719157,20.25273813,0.546719491,0.116035571,-0.048770045,-1.97151833,0.645984454,-30.15722766,11.14307402,0.011153747
GPC016020,Core,-0.925946366,-2.004309727,3.240009659,-9.319702942,-10.04206603,-28.87063264,1.624243915,19.61000815,1.019580422,-0.943271492,0.064622926,7.821008098,-1.005640387,-3.856199473,174.7830804,6.241452606,0.338379258,1.310015417,6.267163808,3.680291502,509.6402772,-36.09773939,0.043362178
GPC016090,Core,-1.702100211,-7.049764272,-1.423323676,4.468630372,3.212933951,-5.680285439,-0.797050462,-1.457561266,1.029195807,3.609036196,0.259112352,-4.433633801,-0.605640387,-1.694861012,40.59737282,2.262683378,-0.744038324,0.460809069,-14.58283616,1.316319171,386.8886105,-22.16440607,0.015434889
GPC016110,Core,-1.372608147,-0.45496715,1.820133044,0.69178943,0.798499516,-6.989426745,-0.875800005,-1.391107031,0.396056308,4.256343645,0.047021555,1.755932847,-0.805010562,-1.437541483,57.92823437,2.403622385,-0.345671555,0.20133079,-4.029786868,1.935834065,225.0842538,-29.02985566,0.021535475
GPC016160,Core,0.319405476,-3.213995374,0.807216306,2.098275451,0.517913103,1.324095742,0.046288529,-0.389287821,-0.483300211,-3.297573648,-0.104900848,2.478138786,0.063876121,-0.336535436,-4.863196177,-0.777702139,0.00435114,-0.172406936,-2.165116806,-0.328961821,-179.7534624,42.35378624,0.000859491
